ID,Dir,DNA1,DNA2,DNA3,RNA1,RNA2,RNA3
CMV584,CCW,1624,1698,2478,1350,1008,1510
CMV584,CW,1886,1879,2880,11621,8576,15555
EGFP,CCW,2282,2431,3238,1664,901,1414
EGFP,CW,4506,4734,6410,5704,3348,4903
EKNGAE0004,CCW,1012,1141,1633,569,243,405
EKNGAE0004,CW,896,1018,1406,309,173,238
EKNGAE0006,CCW,747,779,1216,369,228,247
EKNGAE0006,CW,732,799,1248,1021,536,735
EKNGAE0008,CCW,794,892,1286,294,167,204
EKNGAE0008,CW,1289,1354,1904,544,235,358
EKNGAE0021,CCW,886,1000,1558,479,227,326
EKNGAE0021,CW,936,989,1597,549,273,263
EKNGAE0027,CCW,680,724,1165,312,185,206
EKNGAE0027,CW,668,701,1084,488,256,276
EKNGAE0030,CCW,973,994,1533,235,135,222
EKNGAE0030,CW,686,738,1120,1345,598,942
EKNGAE0036,CCW,662,658,988,153,59,56
EKNGAE0036,CW,738,866,1273,1092,488,821
EKNGAE0039,CCW,754,776,1313,443,233,301
EKNGAE0039,CW,847,940,1417,1272,616,850
EKNGAE0040,CCW,90,81,132,43,26,38
EKNGAE0040,CW,739,844,1140,606,293,404
EKNGAE0045,CCW,878,1027,1557,979,500,691
EKNGAE0045,CW,1577,1702,2728,1870,923,1384
EKNGAE0048,CCW,846,932,1494,377,214,310
EKNGAE0048,CW,930,1041,1667,785,413,447
EKNGAE0049,CCW,1058,1150,1920,327,126,197
EKNGAE0049,CW,1280,1483,2226,1535,859,1123
EKNGAE0051,CCW,1185,1300,1771,765,475,539
EKNGAE0051,CW,835,956,1423,1475,753,1045
EKNGAE0052,CCW,712,793,1157,567,357,445
EKNGAE0052,CW,1319,1542,2308,1567,803,1163
EKNGAE0056,CCW,399,446,692,425,201,305
EKNGAE0056,CW,379,441,600,692,360,476
EKNGAE0057,CCW,1000,1084,1692,479,242,288
EKNGAE0057,CW,648,701,1056,963,463,670
EKNGAE0064,CCW,877,1016,1489,731,365,486
EKNGAE0064,CW,798,828,1162,773,463,604
EKNGAE0068,CCW,502,605,852,459,284,365
EKNGAE0068,CW,775,861,1326,568,274,422
EKNGAE0077,CCW,202,332,508,226,100,152
EKNGAE0077,CW,554,564,822,628,263,440
EKNGAE0090,CCW,1183,1308,1924,170,77,97
