"logFC.CW","ID","p.CW","logFC.CCW","p.CCW","logFC","call","Size"
3.64046326937159,"EKSUUT0021",4.49753763484837e-16,4.8678590320374,3.80175992834177e-23,4.3809330235694,"Enhancer",662
3.40046038028701,"MYC_E1",1.57710379458303e-16,4.85449739171732,5.11546967189248e-20,4.30339690411313,"Enhancer",1578
3.1846796385828,"KSUUT0021",1.4555312635719e-15,4.83231426535525,1.76187758030963e-22,4.23193711850651,"Enhancer",382
3.83845250686118,"EKUUAE0147",1.61364983878586e-20,4.21878082014333,2.59363605428308e-20,4.04111347390372,"Enhancer",532
3.84872598905378,"EKUUAT0049",2.6773811353673e-20,4.03142148208254,2.20878660920112e-20,3.9429637576858,"Enhancer",621
3.03811513655437,"KUUAE0106",8.67744733050287e-17,4.49263450800961,1.34376597591431e-21,3.94140505383638,"Enhancer",521
2.97953843014708,"TRE4_0035A",7.51977288548217e-18,4.50300005162024,1.93913500667182e-23,3.93366029941397,"Enhancer",473
3.89233337076991,"KUUUT0043",1.89488123046564e-22,3.96069400533399,1.52242469179179e-22,3.92691855005564,"Enhancer",299
3.31412348871515,"KUUAE0071",2.22825612783745e-20,4.23668426926032,1.89488123046564e-22,3.84792441423641,"Enhancer",270
3.6346418765336,"TRE4_0173A",7.57081984655059e-20,4.02126942213096,3.09622172832348e-21,3.84086860672818,"Enhancer",490
3.36127015793066,"TRE4_0041A",9.327935621279e-18,4.18476936445617,1.15155966478411e-18,3.83099629365018,"Enhancer",1362
3.63567978133566,"EKUUUT0122",1.64054661194285e-19,3.97376591670058,1.58965232060402e-20,3.81460380433503,"Enhancer",609
3.19223330592208,"TRE4_0083A",2.68808729633672e-15,4.2049899219513,4.11644876176784e-19,3.78571273795665,"Enhancer",950
1.79905631230225,"TRE4_0040A",1.1258836125342e-10,4.52207921987433,1.89488123046564e-22,3.72553935214725,"Enhancer",591
2.97777440835917,"EKUUAE0104",1.27566209254254e-16,4.13015442996917,3.29243566339645e-21,3.66609036304142,"Enhancer",631
3.55176831585628,"KUUAT0049",9.9226762820053e-22,3.74168182643814,1.89488123046564e-22,3.64984779712155,"Enhancer",341
2.70514053639163,"EKSUUT0025",5.22642011220418e-16,4.18386831067015,1.12064475461674e-15,3.62620682879558,"Enhancer",577
3.35161524394506,"EKUUAE0071",3.00397074764977e-18,3.79512944649754,5.09722265562196e-19,3.59034882860485,"Enhancer",550
3.2121411958176,"KSUUT0008",2.22825612783745e-20,3.8617106853321,1.89488123046564e-22,3.57317961092527,"Enhancer",292
3.44227435077747,"TRE4_0193A",6.1923088898247e-20,3.66312189214987,7.60595215002049e-21,3.55691991532509,"Enhancer",776
3.90180563774368,"TRE4_0176A",3.79358179276225e-18,2.92378214681657,6.64498148335015e-17,3.49413090055825,"Enhancer",386
2.3548128015327,"KSUUT0116",9.93875611587059e-15,4.10470061512316,3.09622172832348e-21,3.4802404443847,"Enhancer",505
3.69491456902697,"HS001",8.71883543723316e-17,3.13196327249348,1.08620374964172e-14,3.44072498451683,"Enhancer",420
3.13273584688837,"KUUUT0021",1.5540356104474e-20,3.49731782356898,3.96486264927259e-22,3.32651296226894,"Enhancer",280
3.3742000956546,"EKSUUT0008",3.79485991837729e-17,3.20387867218419,1.11782463523894e-18,3.29155139748885,"Enhancer",572
3.33439493161462,"RSV",2.86310854588778e-22,3.09372085703117,5.2682098886359e-21,3.21907081854981,"Enhancer",227
2.39669423314679,"EKUUUT0012",5.68047129506558e-15,3.70528980625212,4.52441375315048e-19,3.19453851450608,"Enhancer",515
3.12923514033775,"KSUUT0136",5.29277273188116e-19,3.25332709131626,7.52517240516495e-20,3.19261491015438,"Enhancer",360
2.97823677231173,"KUUUT0096",1.57093031382775e-18,3.37383823897532,2.01920593734191e-18,3.18955497202578,"Enhancer",471
3.89465397282196,"KNGUT0054",1.12064475461674e-15,1.64286898805327,1.5977126788556e-11,3.16961829132516,"Enhancer",175
2.9806344413311,"TRE4_0044A",5.90408864918906e-16,3.289217109487,3.00397074764977e-18,3.14316056269675,"Enhancer",619
2.62850705923959,"TRE4_0152A",2.1570430350442e-13,3.51784105675129,3.9148873031752e-20,3.14064332252285,"Enhancer",802
2.77159173277075,"EKUUAE0034",7.54363870569091e-15,3.41184978575096,3.28898123908539e-16,3.12695081941799,"Enhancer",579
3.41468289313513,"TRE4_0167A",5.11546967189248e-20,2.70225432208501,1.30201632307174e-16,3.1020051554371,"Enhancer",437
3.06304669822578,"TRE4_0163A",3.77758822404037e-13,2.991975332455,3.63090185271779e-14,3.02794861894079,"Enhancer",1661
2.68126196872099,"TRE4_0096A",2.64565054628815e-14,3.29547433603975,2.5510090004187e-16,3.02081104935097,"Enhancer",515
3.74310818903602,"EKUUAE0037",5.11546967189248e-20,1.43512388447792,1.3965919835356e-06,3.00847593893456,"Enhancer",551
3.411523762478,"TRE4_0069A",1.87480316567259e-17,2.37748754124759,1.48780149194818e-13,2.98522984157571,"Enhancer",891
2.71224811711951,"TRE4_0103A",3.55103787805873e-14,3.17297277168172,4.30998738893395e-17,2.96092437155362,"Enhancer",961
3.57044922510807,"CMV584",6.29265858059942e-17,1.85528851984286,3.66541592740146e-12,2.95402207591547,"Enhancer",584
