Element	DNA1	DNA2	DNA3	Input	RNA1	RNA2	RNA3
KSUUT0003_KSUUT0003	8313	11418	14096	6181	5173	4398	5607
KSUUT0003_KSUUT0008	11123	14286	20426	7319	22459	12798	23037
KSUUT0003_KSUUT0025	7350	9664	12290	5046	3571	3055	4687
KSUUT0003_KSUUT0100	61	141	150	39	70	54	71
KSUUT0003_KSUUT0114	6006	11711	10355	3842	4295	3793	5088
KSUUT0003_KSUUT0124	1	6	0	1	0	17	2
KSUUT0003_KUUAE0003	0	1	0	0	0	0	0
KSUUT0003_KUUAE0004	7838	9183	13250	5163	5959	3930	6693
KSUUT0003_KUUAE0005	0	3	0	0	0	6	0
KSUUT0003_KUUAE0010	0	0	0	0	0	0	0
KSUUT0003_KUUAE0017	0	8	0	1	1	12	0
KSUUT0003_KUUAE0024	5614	8843	9644	4000	4290	3457	5467
KSUUT0003_KUUAE0034	11155	15714	19522	7442	13963	11312	17044
KSUUT0003_KUUAE0051	5616	8036	9658	3469	3242	1921	3441
KSUUT0003_KUUAE0071	4	8	4	0	4	9	10
KSUUT0003_KUUAE0100	0	1	0	0	0	0	0
KSUUT0003_KUUAE0102	0	2	0	0	0	1	0
KSUUT0003_KUUAE0106	0	1	0	0	0	3	0
KSUUT0003_KUUAE0129	0	0	0	0	0	2	0
KSUUT0003_KUUAE0147	0	0	0	0	0	4	0
KSUUT0003_KUUAT0104	0	20	0	0	0	33	1
KSUUT0003_KUUUT0012	0	0	0	0	0	3	0
KSUUT0003_KUUUT0015	1	7	0	0	0	17	0
KSUUT0003_KUUUT0020	4877	2703	2247	6487	5578	12106	7342
KSUUT0003_KUUUT0021	8887	12038	15607	5237	22945	11818	21327
KSUUT0003_KUUUT0023	0	2	1	0	0	5	0
KSUUT0003_KUUUT0043	9580	13150	15564	6812	28724	22346	30762
KSUUT0003_KUUUT0044	8775	5248	3757	10551	954	2234	1117
KSUUT0003_KSUAT0074	0	0	0	0	0	0	0
KSUUT0003_KSUAT0093	8150	4752	1312	9851	515	3770	944
KSUUT0003_KSUUT0094	4178	6804	7217	2266	1171	1080	1096
KSUUT0003_KUUAE0038	1	3	0	0	0	1	0
KSUUT0003_KUUAE0073	0	0	1	0	1	1	0
KSUUT0003_KUUAT0005	9122	10787	16127	5663	2064	1180	2617
KSUUT0003_KUUAT0069	0	0	1	0	0	0	0
KSUUT0003_KUUAT0138	0	1	0	0	0	0	0
KSUUT0003_KUUUT0016	0	2	0	0	0	0	0
KSUUT0003_KUUUT0050	10375	12304	17886	7069	2471	1488	2865
KSUUT0003_KUUAE0046	0	25	0	2	0	13	0
KSUUT0003_KUUAE0093	0	0	0	0	0	0	0
KSUUT0003_KUUAE0122	0	5	0	0	0	1	0
KSUUT0003_KUUAE0127	1439	1910	2320	702	144	81	127
KSUUT0003_KUUAT0006	0	2	0	0	0	1	0
KSUUT0003_KUUAT0010	0	1	0	0	0	1	0
KSUUT0003_KUUAT0023	0	0	0	1	2	1	1
KSUUT0003_KUUAT0119	7950	11070	13786	5713	201	259	326
KSUUT0003_KUUAT0123	12876	16559	19068	9575	1188	2366	1597
KSUUT0003_KUUUT0013	0	0	0	0	0	0	0
KSUUT0008_KSUUT0003	0	1	0	0	0	2	1
KSUUT0008_KSUUT0008	1798	2084	3376	1289	3120	1686	3853
KSUUT0008_KSUUT0025	0	1	0	0	0	1	0
KSUUT0008_KSUUT0100	1	1	0	0	1	3	0
KSUUT0008_KSUUT0114	0	0	0	0	0	1	0
KSUUT0008_KSUUT0124	0	1	0	0	0	4	1
KSUUT0008_KUUAE0003	0	0	0	0	0	0	0
KSUUT0008_KUUAE0004	0	0	0	0	1	1	0
